series_tag,display_name,post_count,priority,status,note
kono_subarashii_sekai_ni_shukufuku_wo!,Kono Subarashii Sekai Ni Shukufuku Wo!,21037,95,pending,
xenoblade_chronicles_2,Xenoblade Chronicles 2,20902,96,pending,
digimon,Digimon,20532,97,pending,
tales_of_(series),Tales Of  (Series),20391,98,pending,
monogatari_(series),Monogatari  (Series),20185,99,pending,
dragon_quest,Dragon Quest,19800,100,pending,
kimetsu_no_yaiba,Kimetsu No Yaiba,19750,101,pending,
senran_kagura,Senran Kagura,19722,102,pending,
real_life,Real Life,19561,103,pending,
bleach,Bleach,19373,104,pending,
overwatch,Overwatch,19299,105,pending,
bishoujo_senshi_sailor_moon,Bishoujo Senshi Sailor Moon,18996,106,pending,
sword_art_online,Sword Art Online,18839,107,pending,
pokemon_black_and_white,Pokemon Black And White,18591,108,pending,
strike_witches,Strike Witches,17450,109,pending,
sonic_(series),Sonic  (Series),17387,110,pending,
touken_ranbu,Touken Ranbu,17272,111,pending,
toaru_kagaku_no_railgun,Toaru Kagaku No Railgun,17087,112,pending,
fate/apocrypha,Fate/Apocrypha,17047,113,pending,
persona_5,Persona 5,16698,114,pending,
science_adventure,Science Adventure,16633,115,pending,
fire_emblem_awakening,Fire Emblem Awakening,16487,116,pending,
spy_x_family,Spy X Family,16476,117,pending,
nier_(series),Nier  (Series),16441,118,pending,
the_king_of_fighters,The King Of Fighters,16422,119,pending,
nijisanji_en,Nijisanji En,16377,120,pending,
pokemon_diamond/pearl/platinum,Pokemon Diamond/Pearl/Platinum,16340,121,pending,
final_fantasy_vii_remake,Final Fantasy Vii Remake,16322,122,pending,
idolmaster_cinderella_girls_starlight_stage,Idolmaster Cinderella Girls Starlight Stage,16248,123,pending,
touhou_(pc-98),Touhou  (Pc-98),16247,124,pending,
gochuumon_wa_usagi_desu_ka?,Gochuumon Wa Usagi Desu Ka?,16211,125,pending,
kill_la_kill,Kill La Kill,16170,126,pending,
fate/zero,Fate/Zero,16101,127,pending,
utdr_(toby_fox),Utdr  (Toby Fox),15538,128,pending,
code_geass,Code Geass,15000,129,pending,
kirby_(series),Kirby  (Series),14998,130,pending,
shingeki_no_kyojin,Shingeki No Kyojin,14954,131,pending,
tsukihime,Tsukihime,14946,132,pending,
persona_4,Persona 4,14859,133,pending,
persona_3,Persona 3,14767,134,pending,
bang_dream!_girls_band_party!,Bang Dream! Girls Band Party!,14549,135,pending,
overwatch_1,Overwatch 1,14471,136,pending,
lucky_star,Lucky Star,14352,137,pending,
nier:automata,Nier:Automata,14350,138,pending,
danganronpa:_trigger_happy_havoc,Danganronpa: Trigger Happy Havoc,14234,139,pending,
dungeon_meshi,Dungeon Meshi,14188,140,pending,
neptune_(series),Neptune  (Series),14078,141,pending,
saibou_shinkyoku,Saibou Shinkyoku,13997,142,pending,
go-toubun_no_hanayome,Go-Toubun No Hanayome,13657,143,pending,
tokyo_afterschool_summoners,Tokyo Afterschool Summoners,13559,144,pending,
arknights:_endfield,Arknights: Endfield,13487,145,pending,
dragon_ball_z,Dragon Ball Z,13330,146,pending,
higurashi_no_naku_koro_ni,Higurashi No Naku Koro Ni,13317,147,pending,
dc_comics,Dc Comics,13161,148,pending,
idolmaster_million_live!_theater_days,Idolmaster Million Live! Theater Days,13046,149,pending,
darkstalkers,Darkstalkers,12914,150,pending,
stardust_crusaders,Stardust Crusaders,12864,151,pending,
magia_record:_mahou_shoujo_madoka_magica_gaiden,Magia Record: Mahou Shoujo Madoka Magica Gaiden,12834,152,pending,
resident_evil,Resident Evil,12804,153,pending,
elden_ring,Elden Ring,12783,154,pending,
assault_lily,Assault Lily,12698,155,pending,
pokemon_legends:_z-a,Pokemon Legends: Z-A,12682,156,pending,
fire_emblem_engage,Fire Emblem Engage,12635,157,pending,
pokemon_black_2_and_white_2,Pokemon Black 2 And White 2,12489,158,pending,
rwby,Rwby,12434,159,pending,
vspo!,Vspo!,12422,160,pending,
ranma_1/2,Ranma 1/2,12398,161,pending,
ensemble_stars!,Ensemble Stars!,12339,162,pending,
blazblue,Blazblue,12181,163,pending,
monster_hunter_(series),Monster Hunter  (Series),12164,164,pending,
girls_band_cry,Girls Band Cry,12132,165,pending,
mahou_shoujo_lyrical_nanoha,Mahou Shoujo Lyrical Nanoha,12068,166,pending,
eiyuu_densetsu,Eiyuu Densetsu,12059,167,pending,
mahou_shoujo_lyrical_nanoha_strikers,Mahou Shoujo Lyrical Nanoha Strikers,12039,168,pending,
kamen_rider,Kamen Rider,12037,169,pending,
umineko_no_naku_koro_ni,Umineko No Naku Koro Ni,11983,170,pending,
inazuma_eleven_(series),Inazuma Eleven  (Series),11891,171,pending,
fate/kaleid_liner_prisma_illya,Fate/Kaleid Liner Prisma Illya,11869,172,pending,
cookie_(touhou),Cookie  (Touhou),11784,173,pending,
rebuild_of_evangelion,Rebuild Of Evangelion,11729,174,pending,
pokemon_x_and_y,Pokemon X And Y,11687,175,pending,
gundam_suisei_no_majo,Gundam Suisei No Majo,11563,176,pending,
senki_zesshou_symphogear,Senki Zesshou Symphogear,11495,177,pending,
super_smash_bros.,Super Smash Bros.,11414,178,pending,
rozen_maiden,Rozen Maiden,11144,179,pending,
hololive_indonesia,Hololive Indonesia,10920,180,pending,
tengen_toppa_gurren_lagann,Tengen Toppa Gurren Lagann,10918,181,pending,
nikki_(series),Nikki  (Series),10747,182,pending,
onii-chan_wa_oshimai!,Onii-Chan Wa Oshimai!,10691,183,pending,
cardcaptor_sakura,Cardcaptor Sakura,10634,184,pending,
the_legend_of_zelda:_breath_of_the_wild,The Legend Of Zelda: Breath Of The Wild,10600,185,pending,
atelier_(series),Atelier  (Series),10554,186,pending,
macross,Macross,10535,187,pending,
vento_aureo,Vento Aureo,10505,188,pending,
guilty_gear_strive,Guilty Gear Strive,10417,189,pending,
cho_kaguya-hime!,Cho Kaguya-Hime!,10401,190,pending,
axis_powers_hetalia,Axis Powers Hetalia,10324,191,pending,
pretty_series,Pretty Series,10283,192,pending,
lycoris_recoil,Lycoris Recoil,10043,193,pending,
naruto_(classic),Naruto  (Classic),10020,194,pending,
last_origin,Last Origin,9945,195,pending,
battle_tendency,Battle Tendency,9893,196,pending,
pokemon_masters_ex,Pokemon Masters Ex,9759,197,pending,
alien_stage,Alien Stage,9743,198,pending,
fate/extra_ccc,Fate/Extra Ccc,9658,199,pending,
heaven_burns_red,Heaven Burns Red,9597,200,pending,
pokemon_heartgold_and_soulsilver,Pokemon Heartgold And Soulsilver,9584,201,pending,
naruto_shippuuden,Naruto Shippuuden,9537,202,pending,
smile_precure!,Smile Precure!,9409,203,pending,
pokemon_legends:_arceus,Pokemon Legends: Arceus,9345,204,pending,
splatoon_3,Splatoon 3,9251,205,pending,
oshi_no_ko,Oshi No Ko,9192,206,pending,
steins;gate,Steins;Gate,9128,207,pending,
hololive_dev_is,Hololive Dev Is,8937,208,pending,
girls'_frontline_2:_exilium,Girls' Frontline 2: Exilium,8908,209,pending,
panty_&_stocking_with_garterbelt,Panty & Stocking With Garterbelt,8888,210,pending,
the_legend_of_zelda:_tears_of_the_kingdom,The Legend Of Zelda: Tears Of The Kingdom,8846,211,pending,
aikatsu!_(series),Aikatsu!  (Series),8827,212,pending,
yuruyuri,Yuruyuri,8791,213,pending,
undertale,Undertale,8718,214,pending,
helltaker,Helltaker,8695,215,pending,
one-punch_man,One-Punch Man,8667,216,pending,
kobayashi-san_chi_no_maidragon,Kobayashi-San Chi No Maidragon,8667,217,pending,
a.i._voice,A.I. Voice,8605,218,pending,
ace_attorney,Ace Attorney,8577,219,pending,
gridman_universe,Gridman Universe,8531,220,pending,
street_fighter_6,Street Fighter 6,8489,221,pending,
senran_kagura_new_wave,Senran Kagura New Wave,8453,222,pending,
punishing:_gray_raven,Punishing: Gray Raven,8385,223,pending,
pokemon_omega_ruby_and_alpha_sapphire,Pokemon Omega Ruby And Alpha Sapphire,8305,224,pending,
bakemonogatari,Bakemonogatari,8276,225,pending,
twisted_wonderland,Twisted Wonderland,8223,226,pending,
diamond_wa_kudakenai,Diamond Wa Kudakenai,8132,227,pending,
hunter_x_hunter,Hunter X Hunter,8099,228,pending,
love_live!_superstar!!,Love Live! Superstar!!,8081,229,pending,
high_school_dxd,High School Dxd,8062,230,pending,
metroid,Metroid,8028,231,pending,
gundam_gquuuuuux,Gundam Gquuuuuux,7997,232,pending,
to_heart_(series),To Heart  (Series),7957,233,pending,
sanrio,Sanrio,7923,234,pending,
spider-man_(series),Spider-Man  (Series),7811,235,pending,
mushoku_tensei,Mushoku Tensei,7803,236,pending,
ore_no_imouto_ga_konna_ni_kawaii_wake_ga_nai,Ore No Imouto Ga Konna Ni Kawaii Wake Ga Nai,7790,237,pending,
the_hundred_line_-last_defense_academy-,The Hundred Line -Last Defense Academy-,7789,238,pending,
fatal_fury,Fatal Fury,7733,239,pending,
saki_(manga),Saki  (Manga),7724,240,pending,
sono_bisque_doll_wa_koi_wo_suru,Sono Bisque Doll Wa Koi Wo Suru,7700,241,pending,
mahou_shoujo_no_majo_saiban,Mahou Shoujo No Majo Saiban,7554,242,pending,
tiger_&_bunny,Tiger & Bunny,7518,243,pending,
synthesizer_v,Synthesizer V,7503,244,pending,
kemono_friends_3,Kemono Friends 3,7482,245,pending,
x-men,X-Men,7423,246,pending,
pixiv_fantasia,Pixiv Fantasia,7416,247,pending,
hibike!_euphonium,Hibike! Euphonium,7403,248,pending,
to_love-ru,To Love-Ru,7322,249,pending,
nanashi_inc.,Nanashi Inc.,7311,250,pending,
apex_legends,Apex Legends,7305,251,pending,
elsword,Elsword,7242,252,pending,
warship_girls_r,Warship Girls R,7227,253,pending,
deltarune,Deltarune,7214,254,pending,
inazuma_eleven_go,Inazuma Eleven Go,7090,255,pending,
stellive,Stellive,7042,256,pending,
dead_or_alive,Dead Or Alive,7039,257,pending,
gundam_seed,Gundam Seed,7017,258,pending,
little_busters!,Little Busters!,6985,259,pending,
pokemon_firered_and_leafgreen,Pokemon Firered And Leafgreen,6922,260,pending,
kaguya-sama_wa_kokurasetai_~tensai-tachi_no_renai_zunousen~,Kaguya-Sama Wa Kokurasetai ~Tensai-Tachi No Renai Zunousen~,6916,261,pending,
watashi_ga_motenai_no_wa_dou_kangaetemo_omaera_ga_warui!,Watashi Ga Motenai No Wa Dou Kangaetemo Omaera Ga Warui!,6889,262,pending,
dungeon_ni_deai_wo_motomeru_no_wa_machigatteiru_darou_ka,Dungeon Ni Deai Wo Motomeru No Wa Machigatteiru Darou Ka,6757,263,pending,
disgaea,Disgaea,6740,264,pending,
library_of_ruina,Library Of Ruina,6706,265,pending,
marvel_rivals,Marvel Rivals,6679,266,pending,
tekken,Tekken,6656,267,pending,
angel_beats!,Angel Beats!,6656,268,pending,
ssss.gridman,Ssss.Gridman,6636,269,pending,
dragon_ball_super,Dragon Ball Super,6626,270,pending,
mahou_shoujo_lyrical_nanoha_a's,Mahou Shoujo Lyrical Nanoha A'S,6625,271,pending,
omniscient_reader's_viewpoint,Omniscient Reader'S Viewpoint,6611,272,pending,
black_rock_shooter,Black Rock Shooter,6582,273,pending,
pripara,Pripara,6539,274,pending,
kingdom_hearts,Kingdom Hearts,6535,275,pending,
fire_emblem:_the_blazing_blade,Fire Emblem: The Blazing Blade,6486,276,pending,
splatoon_1,Splatoon 1,6475,277,pending,
kamitsubaki_studio,Kamitsubaki Studio,6472,278,pending,
holostars,Holostars,6469,279,pending,
amagami,Amagami,6456,280,pending,
animal_crossing,Animal Crossing,6448,281,pending,
to_heart_2,To Heart 2,6435,282,pending,
fire_emblem:_radiant_dawn,Fire Emblem: Radiant Dawn,6309,283,pending,
fullmetal_alchemist,Fullmetal Alchemist,6298,284,pending,
clannad,Clannad,6287,285,pending,
aikatsu!,Aikatsu!,6270,286,pending,
megami_magazine,Megami Magazine,6269,287,pending,
mahou_shoujo_madoka_magica:_hangyaku_no_monogatari,Mahou Shoujo Madoka Magica: Hangyaku No Monogatari,6265,288,pending,
lobotomy_corporation,Lobotomy Corporation,6245,289,pending,
fire_emblem:_genealogy_of_the_holy_war,Fire Emblem: Genealogy Of The Holy War,6126,290,pending,
needy_girl_overdose,Needy Girl Overdose,6126,291,pending,
shoujo_kageki_revue_starlight,Shoujo Kageki Revue Starlight,6120,292,pending,
gintama,Gintama,6106,293,pending,
dandadan,Dandadan,6093,294,pending,
splatoon_2,Splatoon 2,6086,295,pending,
date_a_live,Date A Live,6049,296,pending,
stone_ocean,Stone Ocean,6030,297,pending,
new_super_mario_bros._u_deluxe,New Super Mario Bros. U Deluxe,6003,298,pending,
darling_in_the_franxx,Darling In The Franxx,6003,299,pending,
gundam_00,Gundam 00,5954,300,pending,
transformers,Transformers,5953,301,pending,
macross_frontier,Macross Frontier,5945,302,pending,
phantasy_star,Phantasy Star,5928,303,pending,
len'en,Len'En,5868,304,pending,
dokidoki!_precure,Dokidoki! Precure,5831,305,pending,
dark_souls_(series),Dark Souls  (Series),5768,306,pending,
golden_kamuy,Golden Kamuy,5762,307,pending,
queen's_blade,Queen'S Blade,5762,308,pending,
xenoblade_chronicles_3,Xenoblade Chronicles 3,5754,309,pending,
puyopuyo,Puyopuyo,5718,310,pending,
cookie_run,Cookie Run,5681,311,pending,
meitantei_conan,Meitantei Conan,5624,312,pending,
heartcatch_precure!,Heartcatch Precure!,5623,313,pending,
flower_knight_girl,Flower Knight Girl,5621,314,pending,
path_to_nowhere,Path To Nowhere,5576,315,pending,
hellaverse,Hellaverse,5567,316,pending,
grandmaster_of_demonic_cultivation,Grandmaster Of Demonic Cultivation,5558,317,pending,
yahari_ore_no_seishun_lovecome_wa_machigatteiru.,Yahari Ore No Seishun Lovecome Wa Machigatteiru.,5553,318,pending,
houseki_no_kuni,Houseki No Kuni,5524,319,pending,
mobile_suit_gundam,Mobile Suit Gundam,5519,320,pending,
monster_musume_no_iru_nichijou,Monster Musume No Iru Nichijou,5510,321,pending,
doki_doki_literature_club,Doki Doki Literature Club,5507,322,pending,
steel_ball_run,Steel Ball Run,5468,323,pending,
batman_(series),Batman  (Series),5445,324,pending,
dungeons_&_dragons,Dungeons & Dragons,5393,325,pending,
love_live!_school_idol_festival,Love Live! School Idol Festival,5380,326,pending,
kagerou_project,Kagerou Project,5359,327,pending,
osomatsu_(series),Osomatsu  (Series),5355,328,pending,
phase_connect,Phase Connect,5353,329,pending,
pokemon_ruby/sapphire/emerald,Pokemon Ruby/Sapphire/Emerald,5351,330,pending,
yurucamp,Yurucamp,5349,331,pending,
puzzle_&_dragons,Puzzle & Dragons,5341,332,pending,
star_wars,Star Wars,5338,333,pending,
fire_emblem:_path_of_radiance,Fire Emblem: Path Of Radiance,5318,334,pending,
skullgirls,Skullgirls,5295,335,pending,
touqi_guaitan,Touqi Guaitan,5284,336,pending,
devil_may_cry_(series),Devil May Cry  (Series),5266,337,pending,
cyberpunk_(series),Cyberpunk  (Series),5259,338,pending,
monster_girl_encyclopedia,Monster Girl Encyclopedia,5243,339,pending,
mega_man_x_(series),Mega Man X  (Series),5215,340,pending,
mega_man_(classic),Mega Man  (Classic),5176,341,pending,
vshojo,Vshojo,5174,342,pending,
super_robot_wars,Super Robot Wars,5157,343,pending,
guilty_gear_xrd,Guilty Gear Xrd,5153,344,pending,
kemono_friends_v_project,Kemono Friends V Project,5137,345,pending,
the_legend_of_zelda:_twilight_princess,The Legend Of Zelda: Twilight Princess,5128,346,pending,
infinity_nikki,Infinity Nikki,5099,347,pending,
pokemon_(classic_anime),Pokemon  (Classic Anime),5071,348,pending,
cevio,Cevio,5069,349,pending,
koha-ace,Koha-Ace,5065,350,pending,
haikyuu!!,Haikyuu!!,5063,351,pending,
hirogaru_sky!_precure,Hirogaru Sky! Precure,5062,352,pending,
osomatsu-san,Osomatsu-San,5050,353,pending,
atelier_ryza,Atelier Ryza,5034,354,pending,
idolmaster_1,Idolmaster 1,4991,355,pending,
phantasy_star_online_2,Phantasy Star Online 2,4951,356,pending,
little_witch_academia,Little Witch Academia,4930,357,pending,
fire_emblem:_mystery_of_the_emblem,Fire Emblem: Mystery Of The Emblem,4929,358,pending,
gegege_no_kitarou,Gegege No Kitarou,4925,359,pending,
machikado_mazoku,Machikado Mazoku,4916,360,pending,
kouyoku_senki_exs-tia,Kouyoku Senki Exs-Tia,4912,361,pending,
alice's_adventures_in_wonderland,Alice'S Adventures In Wonderland,4902,362,pending,
minecraft,Minecraft,4870,363,pending,
sen_no_kiseki_(series),Sen No Kiseki  (Series),4858,364,pending,
made_in_abyss,Made In Abyss,4856,365,pending,
taimanin_(series),Taimanin  (Series),4845,366,pending,
nitroplus,Nitroplus,4826,367,pending,
phantom_blood,Phantom Blood,4819,368,pending,
dungeon_and_fighter,Dungeon And Fighter,4753,369,pending,
touhou_lostword,Touhou Lostword,4731,370,pending,
inazuma_eleven,Inazuma Eleven,4692,371,pending,
kid_icarus,Kid Icarus,4686,372,pending,
warhammer_40k,Warhammer 40K,4677,373,pending,
bemani,Bemani,4641,374,pending,
pokemon_adventures,Pokemon Adventures,4572,375,pending,
pokemon_horizons,Pokemon Horizons,4541,376,pending,
tsukihime_(remake),Tsukihime  (Remake),4513,377,pending,
hazbin_hotel,Hazbin Hotel,4492,378,pending,
idolmaster_side-m,Idolmaster Side-M,4488,379,pending,
the_legend_of_zelda:_ocarina_of_time,The Legend Of Zelda: Ocarina Of Time,4483,380,pending,
pokemon_tcg,Pokemon Tcg,4439,381,pending,
os-tan,Os-Tan,4423,382,pending,
spice_and_wolf,Spice And Wolf,4418,383,pending,
yu-gi-oh!_duel_monsters,Yu-Gi-Oh! Duel Monsters,4417,384,pending,
mcdonald's,Mcdonald'S,4395,385,pending,
fairy_tail,Fairy Tail,4375,386,pending,
fire_emblem:_the_binding_blade,Fire Emblem: The Binding Blade,4370,387,pending,
vrchat,Vrchat,4347,388,pending,
cyberpunk:_edgerunners,Cyberpunk: Edgerunners,4320,389,pending,
street_fighter_v,Street Fighter V,4318,390,pending,
toradora!,Toradora!,4311,391,pending,
suite_precure,Suite Precure,4305,392,pending,
yu-gi-oh!_gx,Yu-Gi-Oh! Gx,4301,393,pending,
my_little_pony,My Little Pony,4280,394,pending,
reitaisai,Reitaisai,4263,395,pending,
metal_gear_(series),Metal Gear  (Series),4251,396,pending,
gundam_build_fighters,Gundam Build Fighters,4209,397,pending,
mahjong_soul,Mahjong Soul,4175,398,pending,
sekaiju_no_meikyuu,Sekaiju No Meikyuu,4148,399,pending,
zeta_gundam,Zeta Gundam,4135,400,pending,
my_little_pony:_friendship_is_magic,My Little Pony: Friendship Is Magic,4117,401,pending,
shingeki_no_bahamut,Shingeki No Bahamut,4111,402,pending,
pokemon_the_series:_sun_&_moon,Pokemon The Series: Sun & Moon,4104,403,pending,
star_ocean,Star Ocean,4090,404,pending,
final_fantasy_vii_rebirth,Final Fantasy Vii Rebirth,4056,405,pending,
mega_man_zero_(series),Mega Man Zero  (Series),4022,406,pending,
urusei_yatsura,Urusei Yatsura,4002,407,pending,
final_fantasy_vi,Final Fantasy Vi,3996,408,pending,
fate/hollow_ataraxia,Fate/Hollow Ataraxia,3984,409,pending,
shadowverse,Shadowverse,3982,410,pending,
koi_suru_kokoro_to_mahou_no_kotoba,Koi Suru Kokoro To Mahou No Kotoba,3978,411,pending,
eromanga_sensei,Eromanga Sensei,3976,412,pending,
zombie_land_saga,Zombie Land Saga,3966,413,pending,
ado_(utaite),Ado  (Utaite),3948,414,pending,
sennen_sensou_aigis,Sennen Sensou Aigis,3946,415,pending,
youkai_watch,Youkai Watch,3945,416,pending,
final_fantasy_vii:_ever_crisis,Final Fantasy Vii: Ever Crisis,3933,417,pending,
shin_megami_tensei,Shin Megami Tensei,3933,418,pending,
infinite_stratos,Infinite Stratos,3932,419,pending,
dragon_quest_iii,Dragon Quest Iii,3921,420,pending,
fate/strange_fake,Fate/Strange Fake,3918,421,pending,
final_fantasy_xi,Final Fantasy Xi,3905,422,pending,
shining_nikki,Shining Nikki,3897,423,pending,
tate_no_yuusha_no_nariagari,Tate No Yuusha No Nariagari,3881,424,pending,
summer_pockets,Summer Pockets,3873,425,pending,
tales_of_vesperia,Tales Of Vesperia,3870,426,pending,
bloodborne,Bloodborne,3859,427,pending,
evangelion:_3.0_you_can_(not)_redo,Evangelion: 3.0 You Can  (Not) Redo,3858,428,pending,
chuunibyou_demo_koi_ga_shitai!,Chuunibyou Demo Koi Ga Shitai!,3855,429,pending,
boruto_(series),Boruto  (Series),3848,430,pending,
project_diva_(series),Project Diva  (Series),3841,431,pending,
alice_gear_aegis,Alice Gear Aegis,3812,432,pending,
ambience_synesthesia,Ambience Synesthesia,3805,433,pending,
kuro_no_kiseki_(series),Kuro No Kiseki  (Series),3803,434,pending,
avatar_legends,Avatar Legends,3757,435,pending,
pokemon_red/green/blue/yellow,Pokemon Red/Green/Blue/Yellow,3738,436,pending,
baldur's_gate,Baldur'S Gate,3730,437,pending,
identity_v,Identity V,3727,438,pending,
voicevox,Voicevox,3708,439,pending,
hollow_knight,Hollow Knight,3706,440,pending,
final_fantasy_ix,Final Fantasy Ix,3701,441,pending,
baldur's_gate_3,Baldur'S Gate 3,3689,442,pending,
zero_no_tsukaima,Zero No Tsukaima,3683,443,pending,
melty_blood,Melty Blood,3681,444,pending,
boku_wa_tomodachi_ga_sukunai,Boku Wa Tomodachi Ga Sukunai,3671,445,pending,
samurai_spirits,Samurai Spirits,3666,446,pending,
fire_emblem:_the_sacred_stones,Fire Emblem: The Sacred Stones,3651,447,pending,
muv-luv,Muv-Luv,3650,448,pending,
black_survival,Black Survival,3650,449,pending,
pikmin_(series),Pikmin  (Series),3622,450,pending,
bleach:_sennen_kessen-hen,Bleach: Sennen Kessen-Hen,3619,451,pending,
ultra_series,Ultra Series,3613,452,pending,
gundam_seed_destiny,Gundam Seed Destiny,3609,453,pending,
hyouka,Hyouka,3603,454,pending,
kid_icarus_uprising,Kid Icarus Uprising,3531,455,pending,
fresh_precure!,Fresh Precure!,3509,456,pending,
soul_eater,Soul Eater,3501,457,pending,
arcane:_league_of_legends,Arcane: League Of Legends,3493,458,pending,
mahou_sensei_negima!,Mahou Sensei Negima!,3488,459,pending,
street_fighter_zero_(series),Street Fighter Zero  (Series),3430,460,pending,
shinrabanshou,Shinrabanshou,3416,461,pending,
maria-sama_ga_miteru,Maria-Sama Ga Miteru,3397,462,pending,
pokemon_journeys,Pokemon Journeys,3396,463,pending,
